date,sentiment_geopolitical,oil_relevance_geopolitical,news_count_geopolitical,positive_prob_geopolitical,neutral_prob_geopolitical,negative_prob_geopolitical
2019-12-26,-0.03831375576555729,1.8333333333333333,6,0.3290632916614413,0.30355967829624814,0.3673770474269986
2019-12-27,0.08418382192030549,1.0,2,0.11623039841651917,0.8517230451107025,0.032046576496213675
2019-12-29,-0.39752396941185,1.0,1,0.2654211223125458,0.07163382321596146,0.6629450917243958
2019-12-30,0.4487503908574581,1.8,5,0.6077498465776443,0.2332506999373436,0.15899945572018623
2019-12-31,-0.8593519149969021,2.3333333333333335,3,0.02639847807586193,0.08785115803281467,0.885750393072764
2020-01-02,-0.7540157716721296,1.0,1,0.02616027183830738,0.19366373121738434,0.780176043510437
2020-01-03,-0.2956758964806795,1.6,5,0.07003669887781143,0.5642506994307042,0.36571259535849093
2020-01-04,-0.9110960066318512,1.0,1,0.015129417181015015,0.058645132929086685,0.9262254238128662
2020-01-05,-0.6785178114660084,1.5,2,0.03446694416925311,0.25254824850708246,0.7129847556352615
2020-01-06,0.03155906001726786,1.3333333333333333,3,0.27255945776899654,0.48644009232521057,0.24100039775172868
2020-01-07,-0.5048139439895749,1.75,4,0.0993707119487226,0.29644462559372187,0.6041846559382975
2020-01-08,-0.11482949102563518,2.0,7,0.16113609740776674,0.5628983059099743,0.2759655884334019
2020-01-09,0.525620408821851,1.5,2,0.5363729596138,0.45287448167800903,0.010752550791949034
2020-01-10,-0.8125704042613506,1.5,2,0.02412845566868782,0.13917267881333828,0.8366988599300385
2020-01-11,0.07529526203870773,2.0,1,0.12538956105709076,0.8245161175727844,0.050094299018383026
2020-01-12,-0.034573959186673164,2.0,2,0.06512128002941608,0.8351834416389465,0.09969523921608925
2020-01-13,0.03748869181921085,1.5,6,0.34393589074412984,0.34961690319081146,0.30644719892491895
2020-01-14,-0.7315649315714836,3.0,1,0.07216108590364456,0.12411293387413025,0.8037260174751282
2020-01-15,-0.17337934238215288,1.6666666666666667,3,0.10896644679208596,0.6086877336104711,0.28234578917423886
2020-01-16,0.04798411391675472,1.0,1,0.07085992395877838,0.9062643051147461,0.02287581004202366
2020-01-17,0.4498715060763061,2.0,2,0.46618249267339706,0.5175065398216248,0.01631098659709096
2020-01-18,-0.18249034881591797,1.0,1,0.04123230278491974,0.7350450754165649,0.2237226516008377
2020-01-19,-0.5620066965930164,2.0,2,0.045676708687096834,0.34663985949009657,0.6076834052801132
2020-01-20,-0.8932004570960999,2.0,1,0.01517719030380249,0.07644519209861755,0.9083776473999023
2020-01-23,0.01327836886048317,1.0,4,0.4044138267636299,0.20445071998983622,0.39113545790314674
2020-01-26,-0.6567243952304125,1.0,1,0.030123291537165642,0.2830290198326111,0.6868476867675781
2020-01-28,-0.06750412471592426,1.0,1,0.03107626549899578,0.8703433871269226,0.09858039021492004
2020-01-29,-0.2154653938487172,1.0,2,0.2853582752868533,0.21381807327270508,0.5008236691355705
